id,participant_id,response_time,correct,trial_number,stimuli_number,response,slope,legend,statement_type,statement_truth,attention,time_when
828,69b19be44bc129f85f90f89d,4028,0,14,linechart-real-4-shuffled-interaction-1-27,left,increasing,shuffled,interaction,1,dual,2026-03-18 21:32:49.995
829,69b0666b647ba8daed82d623,34285,1,9,linechart-real-2-ordered-interaction-1-27,right,increasing,ordered,interaction,1,dual,2026-03-18 21:32:49.777
830,6943a4da7dee8750219a1aaf,22986,1,3,linechart-real-8-shuffled-main_effect-0-31,left,increasing,shuffled,main_effect,0,dual,2026-03-18 21:32:55.744
831,69b19be44bc129f85f90f89d,6070,0,15,linechart-real-16-ordered-interaction-0-17,right,increasing,ordered,interaction,0,dual,2026-03-18 21:32:57.732
832,69b0666b647ba8daed82d623,10035,1,10,linechart-real-21-ordered-interaction-1-25,right,increasing,ordered,interaction,1,dual,2026-03-18 21:33:00.432
833,66e62716a40afa9a9b4d23c6,15652,1,12,linechart-real-20-ordered-interaction-0-29,left,increasing,ordered,interaction,0,dual,2026-03-18 21:33:03.857
834,69b19be44bc129f85f90f89d,5493,0,16,linechart-real-25-shuffled-main_effect-0-15,right,increasing,shuffled,main_effect,0,dual,2026-03-18 21:33:08.725
835,69b19be44bc129f85f90f89d,5510,1,17,linechart-real-14-ordered-interaction-0-20,left,increasing,ordered,interaction,0,dual,2026-03-18 21:33:15.908
836,6943a4da7dee8750219a1aaf,22383,1,4,linechart-real-20-ordered-interaction-1-30,right,increasing,ordered,interaction,1,dual,2026-03-18 21:33:18.720
837,66e62716a40afa9a9b4d23c6,10397,1,13,linechart-real-1-ordered-main_effect-0-5,left,increasing,ordered,main_effect,0,dual,2026-03-18 21:33:16.441
838,69b19be44bc129f85f90f89d,7347,0,18,linechart-real-0-shuffled-interaction-0-8,right,increasing,shuffled,interaction,0,dual,2026-03-18 21:33:23.877
839,66e62716a40afa9a9b4d23c6,4225,0,14,linechart-real-3-ordered-interaction-0-6,right,increasing,ordered,interaction,0,dual,2026-03-18 21:33:22.841
840,69b0666b647ba8daed82d623,23884,1,11,linechart-real-10-shuffled-interaction-1-26,right,increasing,shuffled,interaction,1,dual,2026-03-18 21:33:24.962
841,6943a4da7dee8750219a1aaf,14981,1,5,linechart-real-7-shuffled-interaction-0-17,left,increasing,shuffled,interaction,0,dual,2026-03-18 21:33:34.328
842,69b19be44bc129f85f90f89d,10646,1,19,linechart-real-23-ordered-interaction-1-23,right,increasing,ordered,interaction,1,dual,2026-03-18 21:33:36.174
843,66e62716a40afa9a9b4d23c6,16695,1,15,linechart-real-31-shuffled-main_effect-1-21,right,increasing,shuffled,main_effect,1,dual,2026-03-18 21:33:41.543
844,69b19be44bc129f85f90f89d,11093,1,20,linechart-real-19-ordered-main_effect-1-31,right,increasing,ordered,main_effect,1,dual,2026-03-18 21:33:47.909
845,69b0666b647ba8daed82d623,21621,1,12,linechart-real-15-ordered-interaction-0-13,left,increasing,ordered,interaction,0,dual,2026-03-18 21:33:47.311
846,69b19be44bc129f85f90f89d,11666,1,21,linechart-real-26-ordered-interaction-1-6,right,increasing,ordered,interaction,1,dual,2026-03-18 21:34:00.262
847,66e62716a40afa9a9b4d23c6,13390,1,16,linechart-real-10-shuffled-interaction-0-27,left,increasing,shuffled,interaction,0,dual,2026-03-18 21:34:00.453
848,6943a4da7dee8750219a1aaf,32628,1,6,linechart-real-17-shuffled-interaction-1-25,right,increasing,shuffled,interaction,1,dual,2026-03-18 21:34:07.537
849,5cd3ff1ac99584000199dd15,11907,1,0,linechart-real-30-ordered-main_effect-0-7,left,increasing,ordered,main_effect,0,dual,2026-03-18 21:34:15.811
850,66e62716a40afa9a9b4d23c6,11965,1,17,linechart-real-2-ordered-main_effect-1-26,right,increasing,ordered,main_effect,1,dual,2026-03-18 21:34:14.596
851,69b19be44bc129f85f90f89d,16360,1,22,linechart-real-17-shuffled-main_effect-0-1,left,increasing,shuffled,main_effect,0,dual,2026-03-18 21:34:17.262
852,69b0666b647ba8daed82d623,30621,1,13,linechart-real-17-shuffled-interaction-0-5,left,increasing,shuffled,interaction,0,dual,2026-03-18 21:34:18.542
853,66e62716a40afa9a9b4d23c6,4746,1,18,linechart-real-30-shuffled-main_effect-1-30,right,increasing,shuffled,main_effect,1,dual,2026-03-18 21:34:21.460
854,69b19be44bc129f85f90f89d,8519,1,23,linechart-real-5-ordered-main_effect-1-11,right,increasing,ordered,main_effect,1,dual,2026-03-18 21:34:26.470
855,5cd3ff1ac99584000199dd15,13300,1,1,linechart-real-27-ordered-interaction-0-2,left,increasing,ordered,interaction,0,dual,2026-03-18 21:34:29.898
856,6943a4da7dee8750219a1aaf,23899,1,7,linechart-real-2-shuffled-interaction-1-28,right,increasing,shuffled,interaction,1,dual,2026-03-18 21:34:32.056
857,66e62716a40afa9a9b4d23c6,7669,1,19,linechart-real-28-shuffled-interaction-0-4,left,increasing,shuffled,interaction,0,dual,2026-03-18 21:34:31.297
858,69b19be44bc129f85f90f89d,5078,0,24,linechart-real-29-ordered-main_effect-0-0,right,increasing,ordered,main_effect,0,dual,2026-03-18 21:34:37.158
859,69b0666b647ba8daed82d623,22293,1,14,linechart-real-19-shuffled-main_effect-1-15,right,increasing,shuffled,main_effect,1,dual,2026-03-18 21:34:41.489
860,5cd3ff1ac99584000199dd15,14055,1,2,linechart-real-28-ordered-main_effect-1-28,right,increasing,ordered,main_effect,1,dual,2026-03-18 21:34:44.732
861,66e62716a40afa9a9b4d23c6,10048,1,20,linechart-real-25-shuffled-interaction-1-15,right,increasing,shuffled,interaction,1,dual,2026-03-18 21:34:43.443
862,66e62716a40afa9a9b4d23c6,6759,1,21,linechart-real-5-shuffled-main_effect-1-25,right,increasing,shuffled,main_effect,1,dual,2026-03-18 21:34:52.383
863,69b0666b647ba8daed82d623,15288,1,15,linechart-real-31-ordered-main_effect-0-12,left,increasing,ordered,main_effect,0,dual,2026-03-18 21:34:57.470
864,6943a4da7dee8750219a1aaf,25195,1,8,linechart-real-6-shuffled-main_effect-0-1,left,increasing,shuffled,main_effect,0,dual,2026-03-18 21:35:03.800
865,5cd3ff1ac99584000199dd15,19319,1,3,linechart-real-13-ordered-main_effect-0-16,left,increasing,ordered,main_effect,0,dual,2026-03-18 21:35:04.794
