id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
24350,test,NULL,0,31,right-8,none,right-dark,dark-up,fewer-up,dual,11:40:10_PM
24351,test,1678,1,32,right-0,left,right-dark,dark-up,fewer-up,dual,11:40:13_PM
24352,test,1055,1,33,right-2,left,right-dark,light-up,greater-up,dual,11:40:17_PM
24353,test,956,1,34,right-8,left,right-dark,light-up,greater-up,dual,11:40:19_PM
24354,test,NULL,0,35,left-1,none,left-dark,dark-up,fewer-up,dual,11:40:21_PM
24355,test,1521,1,36,right-0,right,right-dark,light-up,fewer-up,dual,11:40:25_PM
24356,test,1311,1,37,left-0,left,left-dark,light-up,fewer-up,dual,11:40:28_PM
24357,test,1605,1,38,left-3,right,left-dark,light-up,greater-up,dual,11:40:31_PM
24358,test,995,1,39,right-3,right,right-dark,dark-up,greater-up,dual,11:40:33_PM
24359,test,1475,1,40,left-8,right,left-dark,dark-up,fewer-up,dual,11:40:44_PM
24360,test,1416,1,41,left-7,right,left-dark,dark-up,fewer-up,dual,11:40:48_PM
24361,test,1052,1,42,right-7,left,right-dark,dark-up,fewer-up,dual,11:40:51_PM
24362,test,976,1,43,left-6,left,left-dark,dark-up,greater-up,dual,11:40:55_PM
24363,test,1277,1,44,left-5,left,left-dark,dark-up,greater-up,dual,11:40:58_PM
24364,test,1439,1,45,right-6,right,right-dark,dark-up,greater-up,dual,11:41:00_PM
24365,test,1364,1,46,right-2,right,right-dark,light-up,fewer-up,dual,11:41:03_PM
24366,test,1103,1,47,left-5,right,left-dark,dark-up,fewer-up,dual,11:41:06_PM
24367,test,NULL,0,48,left-7,none,left-dark,dark-up,greater-up,dual,11:41:09_PM
24368,test,922,1,49,right-7,right,right-dark,dark-up,greater-up,dual,11:41:11_PM
24369,test,1286,1,50,right-4,left,right-dark,light-up,greater-up,dual,11:41:14_PM
24370,test,1086,1,51,left-4,right,left-dark,light-up,greater-up,dual,11:41:17_PM
24371,test,849,1,52,right-0,right,right-dark,dark-up,greater-up,dual,11:41:19_PM
24372,test,1148,1,53,right-4,left,right-dark,dark-up,fewer-up,dual,11:41:23_PM
24373,test,1107,0,54,right-2,right,right-dark,dark-up,fewer-up,dual,11:41:25_PM
24374,test,1254,1,55,right-9,right,right-dark,dark-up,greater-up,dual,11:41:29_PM
24375,test,1124,1,56,right-5,right,right-dark,light-up,fewer-up,dual,11:41:31_PM
24376,test,1576,1,57,left-8,left,left-dark,dark-up,greater-up,dual,11:41:34_PM
24377,test,1448,0,58,left-2,left,left-dark,dark-up,fewer-up,dual,11:41:38_PM
24378,test,1012,1,59,left-2,left,left-dark,dark-up,greater-up,dual,11:41:40_PM
24379,test,1277,0,60,left-9,left,left-dark,light-up,greater-up,dual,11:41:46_PM
24380,test,1319,0,61,left-0,left,left-dark,light-up,greater-up,dual,11:41:50_PM
24381,test,1064,1,62,right-1,right,right-dark,dark-up,greater-up,dual,11:41:53_PM
24382,test,1121,1,63,right-6,left,right-dark,light-up,greater-up,dual,11:41:56_PM
24383,test,1076,1,64,left-4,left,left-dark,dark-up,greater-up,dual,11:42:00_PM
24384,test,1187,1,65,right-8,right,right-dark,light-up,fewer-up,dual,11:42:02_PM
24385,test,1597,1,66,left-2,left,left-dark,light-up,fewer-up,dual,11:42:05_PM
24386,test,1644,1,67,left-8,left,left-dark,light-up,fewer-up,dual,11:42:08_PM
24387,test,1392,1,68,right-7,right,right-dark,light-up,fewer-up,dual,11:42:11_PM
24388,test,931,1,69,right-9,left,right-dark,light-up,greater-up,dual,11:42:13_PM
24389,test,926,1,70,left-6,right,left-dark,light-up,greater-up,dual,11:42:16_PM
24390,test,1104,1,71,left-4,right,left-dark,dark-up,fewer-up,dual,11:42:19_PM
24391,test,1238,1,72,right-9,right,right-dark,light-up,fewer-up,dual,11:42:21_PM
24392,test,1630,1,73,right-5,left,right-dark,dark-up,fewer-up,dual,11:42:25_PM
24393,test,951,1,74,left-1,right,left-dark,light-up,greater-up,dual,11:42:28_PM
24394,test,1233,1,75,right-3,left,right-dark,dark-up,fewer-up,dual,11:42:31_PM
24395,test,1220,1,76,left-9,left,left-dark,dark-up,greater-up,dual,11:42:33_PM
24396,test,1468,1,77,left-4,left,left-dark,light-up,fewer-up,dual,11:42:36_PM
