id,participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
36366,67a5c89e37476046227e6616,1359,1,27,right-7,right,right-dark,dark-up,greater-up,single,2026-03-14 16:08:56.2830000
36367,573b8bc2f3580b0006ce0986,1754,1,37,right-9,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:56.2580000
36368,698caa3dd8c53ba869e20089,761,1,30,right-0,right,right-dark,light-up,fewer-up,single,2026-03-14 16:08:56.8710000
36369,69abace8fe8e1c23cb4aae7f,1700,1,24,left-0,left,left-dark,light-up,fewer-up,single,2026-03-14 16:08:58.7840000
36370,69606ec5fd842b942ecc6932,911,1,77,right-4,left,right-dark,dark-up,fewer-up,single,2026-03-14 16:08:57.2120000
36371,67a5c89e37476046227e6616,1415,1,28,left-7,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:58.8160000
36372,573b8bc2f3580b0006ce0986,955,0,38,right-6,right,right-dark,light-up,greater-up,single,2026-03-14 16:08:58.2880000
36373,698caa3dd8c53ba869e20089,822,1,31,right-5,right,right-dark,dark-up,greater-up,single,2026-03-14 16:08:59.0210000
36374,69abace8fe8e1c23cb4aae7f,1062,1,25,left-9,left,left-dark,dark-up,greater-up,single,2026-03-14 16:09:00.9300000
36375,69606ec5fd842b942ecc6932,882,1,78,left-0,left,left-dark,dark-up,greater-up,single,2026-03-14 16:08:59.5200000
36376,67a5c89e37476046227e6616,1064,1,29,right-9,right,right-dark,dark-up,greater-up,single,2026-03-14 16:09:00.9930000
36377,573b8bc2f3580b0006ce0986,1069,1,39,left-8,left,left-dark,dark-up,greater-up,single,2026-03-14 16:09:00.8470000
36378,698caa3dd8c53ba869e20089,895,0,32,left-7,right,left-dark,dark-up,greater-up,single,2026-03-14 16:09:01.1970000
36379,69abace8fe8e1c23cb4aae7f,1216,1,26,left-8,right,left-dark,light-up,greater-up,single,2026-03-14 16:09:03.1850000
36380,69606ec5fd842b942ecc6932,855,1,79,right-3,right,right-dark,dark-up,greater-up,single,2026-03-14 16:09:01.7600000
36381,67a5c89e37476046227e6616,1299,1,30,left-9,left,left-dark,dark-up,greater-up,single,2026-03-14 16:09:03.6330000
36382,600c167e28de48080e812884,752,1,40,left-0,left,left-dark,light-up,fewer-up,single,2026-03-14 16:09:03.8510000
36383,698caa3dd8c53ba869e20089,977,0,33,right-3,right,right-dark,light-up,greater-up,single,2026-03-14 16:09:03.5550000
36384,69abace8fe8e1c23cb4aae7f,1171,1,27,left-3,right,left-dark,light-up,greater-up,single,2026-03-14 16:09:05.6270000
36385,67a5c89e37476046227e6616,1171,1,31,left-2,right,left-dark,light-up,greater-up,single,2026-03-14 16:09:05.8350000
36386,698caa3dd8c53ba869e20089,704,0,34,left-1,left,left-dark,light-up,greater-up,single,2026-03-14 16:09:05.6840000
