participant_id,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
615e420a23219efe3427a367,1555,0,69,right-8,left,right-dark,light-up,fewer-up,dual,51:56.0
67e48f46ac070276b3bc9cfa,1042,1,59,right-9,left,right-dark,light-up,greater-up,single,51:55.7
69a5c500037701844052c365,857,1,50,right-4,right,right-dark,dark-up,greater-up,single,51:55.7
69acf86d93afc119933913e5,1316,1,62,left-1,right,left-dark,light-up,greater-up,dual,51:56.2
695f9da1eba3887a2214b9f6,732,1,4,right-4,right,right-dark,dark-up,greater-up,single,51:56.2
695bd68349914a703c6a9e80,NULL,0,58,right-4,none,right-dark,light-up,fewer-up,dual,51:57.4
65fcab5ed252c205f819b116,723,1,34,right-6,left,right-dark,light-up,greater-up,dual,51:57.5
6984a9d17c365f6f621d7fe7,1509,1,47,left-9,right,left-dark,light-up,greater-up,dual,51:56.6
604fe822b095421e07e3f93e,765,1,21,right-6,right,right-dark,dark-up,greater-up,dual,51:56.3
6544ff9e0fb2eaaf83e2de5c,NULL,0,33,left-0,none,left-dark,light-up,fewer-up,dual,51:57.5
615e420a23219efe3427a367,1328,1,70,left-8,right,left-dark,light-up,greater-up,dual,51:58.5
698bd173e4842a5bd8ad85bb,938,1,21,right-2,right,right-dark,dark-up,greater-up,single,51:57.6
60bc8860d04f4ac80d319a5c,1452,1,71,right-8,right,right-dark,light-up,fewer-up,dual,51:57.5
69a5c500037701844052c365,1189,1,51,left-5,right,left-dark,dark-up,fewer-up,single,51:58.0
69acf86d93afc119933913e5,1239,1,63,left-8,right,left-dark,light-up,greater-up,dual,51:58.6
695f9da1eba3887a2214b9f6,1030,1,5,right-7,right,right-dark,dark-up,greater-up,single,51:58.5
604db6324496c57afe822770,927,1,60,left-7,left,left-dark,dark-up,greater-up,single,51:58.8
6984a9d17c365f6f621d7fe7,1036,1,48,right-6,right,right-dark,light-up,fewer-up,dual,51:58.9
604fe822b095421e07e3f93e,1044,1,22,left-3,left,left-dark,dark-up,greater-up,dual,51:58.5
