id,participant_id,duration,response_time,correct,trial_number,stimuli_number,response,heatmap_condition,legend_condition,label_condition,attention,time_when
5078,694179d88301c400c4bbdb4d,1514.9000000059605,1514.9000000059605,1,56,right-5,left,right-dark,light-up,greater-up,single,2026-02-17 21:32:53.3070000
5079,5e9e19d808b9931ef37373c6,3335.699999999255,3335.699999999255,1,40,right-5,left,right-dark,dark-up,fewer-up,dual,2026-02-17 21:33:57.7610000
5080,588e02b13326830001bc29cd,1135.1000001430511,1135.1000001430511,0,16,right-6,right,right-dark,light-up,greater-up,single,2026-02-17 21:33:57.7160000
5081,5a4ff86beedc32000141f232,2958.800000011921,2958.800000011921,1,5,left-1,left,left-dark,dark-up,greater-up,single,2026-02-17 21:33:57.6560000
5082,6310dbdfda69599720736665,1656.8999998569489,1656.8999998569489,1,68,right-5,right,right-dark,light-up,fewer-up,single,2026-02-17 21:33:58.5850000
5083,694179d88301c400c4bbdb4d,1017.6999999880791,1017.6999999880791,1,57,left-7,left,left-dark,dark-up,greater-up,single,2026-02-17 21:32:54.8260000
5084,67325d10b9e0c58d803cd7ba,2701.7000002861023,2701.7000002861023,1,15,right-4,left,right-dark,light-up,greater-up,dual,2026-02-17 21:33:59.0960000
5085,697cb8ffcfbeef0652884528,2951.300000011921,2951.300000011921,1,49,left-0,left,left-dark,dark-up,greater-up,dual,2026-02-17 21:34:00.9780000
5086,5e9e19d808b9931ef37373c6,1748,1748,1,41,left-4,right,left-dark,dark-up,fewer-up,dual,2026-02-17 21:34:00.0110000
5087,6310dbdfda69599720736665,1486.5,1486.5,1,69,right-9,left,right-dark,light-up,greater-up,single,2026-02-17 21:34:00.5820000
5088,694179d88301c400c4bbdb4d,1118.699999988079,1118.699999988079,1,58,right-0,right,right-dark,light-up,fewer-up,single,2026-02-17 21:32:56.4470000
5089,614dd9c7fe3afb375e947a27,2982,2982,1,78,right-0,left,right-dark,dark-up,fewer-up,single,2026-02-17 21:34:00.3210000
5090,5e9e19d808b9931ef37373c6,1178.8999999985099,1178.8999999985099,1,42,left-0,left,left-dark,dark-up,greater-up,dual,2026-02-17 21:34:01.6920000
5091,588e02b13326830001bc29cd,2470.0999999046326,2470.0999999046326,1,17,right-0,right,right-dark,light-up,fewer-up,single,2026-02-17 21:34:01.6950000
5092,67325d10b9e0c58d803cd7ba,1854.6999998092651,1854.6999998092651,1,16,left-9,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:34:01.4660000
5093,6310dbdfda69599720736665,1547.7000000476837,1547.7000000476837,1,70,right-4,right,right-dark,dark-up,greater-up,single,2026-02-17 21:34:02.6470000
5094,694179d88301c400c4bbdb4d,1439.699999988079,1439.699999988079,1,59,left-2,right,left-dark,light-up,greater-up,single,2026-02-17 21:32:58.3900000
5095,697cb8ffcfbeef0652884528,1987,1987,1,50,left-7,left,left-dark,light-up,fewer-up,dual,2026-02-17 21:34:03.4790000
5096,614dd9c7fe3afb375e947a27,1616.2999999998137,1616.2999999998137,1,79,right-9,right,right-dark,light-up,fewer-up,single,2026-02-17 21:34:02.4410000
